t_var var
t_integer integer
t_id  x
s_semi ;
t_string string
t_id y
s_semi ;
t_main main
t_input input
s_lparen (
t_id x
s_rparen )
t_output output
s_lparen (
t_id x
s_rparen )
t_id x
s_assign =
t_id x
s_plus +
t_number 5
s_mult *
t_number 2
s_semi ;
t_output output
s_lparen (
t_id x
s_rparen )
t_if if
s_lparen (
t_id x
s_lt <
t_number 3
s_rparen )
t_then then
t_output output
s_lparen (
t_text hello
s_rparen )
t_else else
t_output output
s_lparen (
t_text world
s_rparen )
t_end end
t_if if
t_id y
s_assign =
t_text hello world
s_semi ;
t_output output
s_lparen (
t_id y
s_rparen )
t_end end
